Unique donor ID,Donation date,Donation amount,Date of first donation,Date of last donation,Was their first donation an automatically-recurring transaction?
0031Y00005xkaxlQAA,2/5/2024,$100.00,12/31/2020,2/5/2024,0
0031Y000061wiJRQAY,2/5/2024,$25.00,2/5/2024,2/5/2024,0
003i000002hGnPLAA0,2/7/2024,$25.00,2/7/2024,2/7/2024,1
003i000003vdlx9AAA,2/7/2024,$51.36,2/7/2024,2/7/2024,0
0031Y000054HQp7QAG,2/10/2024,$5.00,7/5/2017,2/10/2024,1
003i000003NZcK0AAL,2/11/2024,$10.00,2/11/2024,2/11/2024,0
0031Y00005WVIWcQAP,2/13/2024,"$1,100.00",2/13/2024,2/13/2024,0
0031Y000054HRDbQAO,2/14/2024,$12.00,2/14/2024,2/14/2024,1
0031Y000061wiJRQAY,2/18/2024,$100.00,2/5/2024,2/18/2024,0
0031Y00005WVoGTQA1,2/19/2024,$500.00,2/19/2024,2/19/2024,0
003i000000FYSmBAAX,2/28/2024,"$2,000.00",4/8/2022,2/28/2024,0
