Unique donor ID,Total donations in 2017,Total donations in 2018,Total donations in 2019,Total donations in 2020,Total donations in 2021,Totan donations in 2022,Total donations in 2023,Amount of first donation,Date of first donation,Was their first donation an automatically-recurring transaction?,Amount of last donation,Date of last donation,Year with the most dollars donated,Highest amount donated in one year
0031Y00005xkHT8QAM,$0.00,$0.00,$700.00,"$2,400.00","$2,000.00","$1,500.00","$1,500.00",$700.00,12/30/2019,0,"$1,000.00",9/15/2023,2020,"$2,400.00"
0031Y00005WVHv9QAH,$0.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,12/20/2018,0,$35.00,12/20/2018,2018,$35.00
0031Y00005xkID5QAM,$0.00,$0.00,"$44,840.00",$0.00,"$50,000.00",$50.00,"$40,000.00","$14,840.00",12/6/2019,0,"$15,000.00",2/28/2024,2021,"$50,000.00"
0031Y00005epCTZQA2,$0.00,$0.00,$120.00,$80.00,$0.00,$0.00,$0.00,$10.00,2/26/2019,1,$10.00,9/26/2020,2019,$120.00
0031Y00005epDY3QAM,$0.00,$0.00,$216.00,$0.00,$0.00,$0.00,$0.00,$16.00,2/26/2019,0,$200.00,12/20/2019,2019,$216.00
0031Y00005epFUBQA2,$0.00,$0.00,$681.00,$29.19,$0.00,$0.00,$0.00,$3.75,2/25/2019,0,$4.72,3/28/2020,2019,$681.42
0031Y000054HRE2QAO,$62.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$61.61,3/22/2017,0,$61.61,3/22/2017,2017,$61.61
0031Y00005xlaAPQAY,$0.00,$0.00,$105.00,$0.00,$0.00,$0.00,$0.00,$105.00,12/30/2019,0,$105.00,12/30/2019,2019,$105.00
003i000004caaEdAAI,$55.00,$15.00,$95.00,$120.00,$210.00,$240.00,$120.00,$5.00,4/5/2017,0,$20.00,7/20/2023,2022,$240.00
0031Y000054JeIlQAK,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,12/23/2017,0,$60.00,12/23/2017,2017,$60.00
0031Y00005WVujjQAD,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,1/4/2019,0,$25.00,1/4/2019,2018,$25.00
0031Y00005xmSXGQA2,$0.00,$0.00,$300.00,"$1,000.00",$0.00,$0.00,$0.00,$300.00,12/30/2019,0,"$1,000.00",1/8/2021,2020,"$1,000.00"
0031Y000054HREsQAO,$320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$320.00,3/26/2017,0,$320.00,3/26/2017,2017,$320.00
0031Y000054JALiQAO,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,3/8/2017,0,$50.00,3/8/2017,2017,$50.00
0031Y00005WVKl0QAH,$0.00,$116.00,$0.00,$0.00,$0.00,$0.00,$0.00,$116.00,12/21/2018,0,$116.00,12/21/2018,2018,$116.00
003i000004cbHWfAAM,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,3/22/2017,0,$100.00,3/22/2017,2017,$200.00
